sample	PC1	PC2	ancestry
CPCT02010003	-3.64211963650466	0.0526389423183263	hartwig
CPCT02010240	-2.57785329315921	0.463701704668696	hartwig
CPCT02010260	-3.54981320720641	0.629337487491921	hartwig
CPCT02010276	-3.63352102337613	0.987764346890737	hartwig
CPCT02010281	-3.63528748895108	0.693201980751858	hartwig
CPCT02010288	-3.63477393950518	0.133453784424652	hartwig
CPCT02010289	-3.01147753031498	0.0897349180781602	hartwig
CPCT02010298	-3.21289698386204	0.77281685305895	hartwig
CPCT02010320	-3.25292846596974	-0.543360312982128	hartwig
CPCT02010324	-3.43069178387888	0.503444715281436	hartwig
CPCT02010329	-3.84946024333278	0.0872843671831082	hartwig
CPCT02010337	-4.04899213052469	0.966261256908924	hartwig
CPCT02010351	-3.91667612420638	0.0639492624785862	hartwig
CPCT02010359	1.44706920827768	-2.79732353533584	hartwig
CPCT02010382	-3.80434680139469	0.306490257655892	hartwig
CPCT02010401	-4.10901862574954	0.766684991660235	hartwig
CPCT02010419	-3.28968069929558	0.377159678114534	hartwig
CPCT02010422	-3.76553574561114	0.533687006927317	hartwig
CPCT02010427	-2.97880730737308	1.34883450318937	hartwig
CPCT02010433	-3.5802199902987	0.908904356891259	hartwig
CPCT02010434	-3.31276054202284	0.91317734692801	hartwig
CPCT02010447	8.19423765837051	2.24762681834535	hartwig
CPCT02010461	-2.93984970476193	-0.834175034155427	hartwig
CPCT02010468	-3.558479590216	0.570114878171081	hartwig
CPCT02010504	-3.41542364464923	0.2541890773128	hartwig
CPCT02010508	-3.16695222234569	1.10589290059349	hartwig
CPCT02010509	7.6086545097406	1.19710461662247	hartwig
CPCT02010517	-2.52675244202142	1.44155907263137	hartwig
CPCT02010520	-3.90617371294615	1.12275004989856	hartwig
CPCT02010521	-3.69763135987963	-0.258561949065505	hartwig
CPCT02010523	-3.36361935826337	0.496157217784825	hartwig
CPCT02010528	-3.44888065879844	0.0411515382240566	hartwig
CPCT02010535	-3.77723616361185	0.96507970636778	hartwig
CPCT02010554	-2.18853202406825	1.0859911149765	hartwig
CPCT02010555	-3.01981570493049	0.541158841142763	hartwig
CPCT02010572	-3.49067793364028	-0.176058408819318	hartwig
CPCT02010593	-2.79860307408749	0.468970848628043	hartwig
CPCT02010628	-4.34199085317778	0.0245700229626323	hartwig
CPCT02010633	-3.13497746613992	0.701457331682064	hartwig
CPCT02010639	-3.63462133297221	0.226718975987091	hartwig
CPCT02010643	1.50392736766067	0.951631237024296	hartwig
CPCT02010658	-4.11552695832293	0.568104724782006	hartwig
CPCT02010661	-1.30294673819552	1.88931228703361	hartwig
CPCT02010678	-2.7986644574847	1.20795899682036	hartwig
CPCT02010682	-2.55521942851847	0.533819143373743	hartwig
CPCT02010687	-3.67339656605339	0.277208497682109	hartwig
CPCT02010691	-2.8773139543057	1.16042168903809	hartwig
CPCT02010694	-3.79389735047455	0.505894869529194	hartwig
CPCT02010708	-3.97734857681999	1.1209091594298	hartwig
CPCT02010720	-3.36396576924495	0.843112666522052	hartwig
CPCT02010721	1.12006884701624	1.28669850180468	hartwig
CPCT02010726	-2.6933370355579	0.771929365648419	hartwig
CPCT02010731	-2.97425412960434	0.620680176852966	hartwig
CPCT02010746	-3.88526420088006	0.417871694640344	hartwig
CPCT02010765	-3.42328893300499	0.0125484384089932	hartwig
CPCT02010768	-3.38751122754866	1.00487118739203	hartwig
CPCT02010772	-3.89665071921905	0.561408715457517	hartwig
CPCT02010773	-4.91742044984779	0.40242205058801	hartwig
CPCT02010790	-3.33471781744784	0.90207261922724	hartwig
CPCT02010791	-3.86593079662882	0.946232049440221	hartwig
CPCT02010824	-3.19065086824844	0.652785216921329	hartwig
CPCT02010825	-3.77133512151127	1.07892859866456	hartwig
CPCT02010838	-3.35645210089441	0.278242792886948	hartwig
CPCT02010846	-3.17573831341476	1.0356528099655	hartwig
CPCT02010863	-3.8199645586383	1.40430595820543	hartwig
CPCT02010886	-3.74850725134893	0.646782246659658	hartwig
CPCT02010890	-3.07352322110088	0.612114431803005	hartwig
CPCT02010891	2.76261071763497	-7.55758879202211	hartwig
CPCT02010896	7.13560488347355	2.34526150010567	hartwig
CPCT02010900	-4.2488807965164	-0.263481774086115	hartwig
CPCT02010901	-3.25122812536986	1.34337240984054	hartwig
CPCT02010915	-3.86786612834067	1.13120185229416	hartwig
CPCT02010933	-3.31736335260643	0.45481364979462	hartwig
CPCT02010934	-2.74948568232805	-0.0639783336010719	hartwig
CPCT02010936	-3.13783865240663	0.131556593345133	hartwig
CPCT02010939	-3.53999512091218	0.535008640358839	hartwig
CPCT02010940	-3.01550758964464	0.687116176276832	hartwig
CPCT02010969	-3.48916421720229	0.813536105466891	hartwig
CPCT02011013	-3.63193542632162	-0.212667913679277	hartwig
CPCT02011058	-1.87203945755491	0.108117908454522	hartwig
CPCT02011073	-3.73771730317726	0.700853141769085	hartwig
CPCT02020186	-4.03723326990924	-0.38753923350966	hartwig
CPCT02020191	-3.70739908127293	1.02745791095562	hartwig
CPCT02020194	-3.03521620968962	-0.143749340969177	hartwig
CPCT02020195	-3.73212756471794	0.767126329176324	hartwig
CPCT02020197	-3.90825995029341	0.41468026884699	hartwig
CPCT02020202	-3.88928694140678	0.786672859103445	hartwig
CPCT02020203	-3.23775497228036	0.538582015377652	hartwig
CPCT02020215	-3.64858518775834	0.346321515870506	hartwig
CPCT02020218	-3.19056416091172	0.00265541680294515	hartwig
CPCT02020238	-3.13429450301005	0.982696730611581	hartwig
CPCT02020239	-2.59833121392995	0.972183946078287	hartwig
CPCT02020245	-3.48865205352263	0.420254795683316	hartwig
CPCT02020247	-2.41999182597052	0.921343629883049	hartwig
CPCT02020264	8.6250918483781	1.77925569516008	hartwig
CPCT02020276	-3.4160582236018	0.366601603289042	hartwig
CPCT02020287	-3.65944910971968	0.635023005624239	hartwig
CPCT02020288	-3.46941008847968	0.205220293767732	hartwig
CPCT02020299	-2.9741753647481	0.161455271494544	hartwig
CPCT02020314	-2.91954576054731	0.686780669469724	hartwig
CPCT02020322	-3.48504111184868	0.407836792169998	hartwig
CPCT02020341	-3.07279114832925	0.794262279449465	hartwig
CPCT02020344	2.66994621976318	0.0729321048843231	hartwig
CPCT02020345	1.44706920827768	-2.79732353533584	hartwig
CPCT02020347	-3.7164050496805	-0.238903188412269	hartwig
CPCT02020369	-3.04435418371898	1.00647135222499	hartwig
CPCT02020371	-4.0755468933517	0.972950381952223	hartwig
CPCT02020377	2.30756172355805	1.77816470185637	hartwig
CPCT02020382	-3.14318800082476	0.553778762894055	hartwig
CPCT02020385	-3.85594099843947	1.02954933838153	hartwig
