sample	PC1	PC2	ancestry
CURTIS_H000378_N01_01_WG01	-1.94430346955025	1.893662279483	ICGC
CURTIS_H000379_N01_01_WG01	-2.12157183049217	-0.899447098394167	ICGC
CURTIS_H000380_N01_01_WG01	-3.0506033981535	1.01879889322944	ICGC
CURTIS_H000381_N01_01_WG01	-3.14669245641075	0.760745712422516	ICGC
CURTIS_H000382_N01_01_WG01	-3.10900313068736	0.963045331282204	ICGC
CURTIS_H000383_N01_01_WG01	-3.45215406252588	0.508104768114761	ICGC
CURTIS_H000384_N01_01_WG01	-3.82199648385974	0.462983081815058	ICGC
CURTIS_H000385_N01_01_WG01	-1.8350941634438	0.341172039094457	ICGC
CURTIS_H000386_N01_01_WG01	-0.385486762729261	-1.93430899636614	ICGC
CURTIS_H000387_N01_01_WG01	-2.30218993987023	0.397487690044269	ICGC
CURTIS_H000388_N01_01_WG01	-3.49215126229972	0.829091183443781	ICGC
CURTIS_H000389_N01_01_WG01	-3.2333995543236	0.380147399892939	ICGC
CURTIS_H000390_N01_01_WG01	-1.87391751868943	0.190600166907757	ICGC
CURTIS_H000391_N01_01_WG01	-3.38743613530043	1.06983807294333	ICGC
CURTIS_H000392_N01_01_WG01	-3.54496681560055	0.751403805316966	ICGC
CURTIS_H000393_N01_01_WG01	-3.06324856501414	0.250219736635102	ICGC
CURTIS_H000394_N01_01_WG01	-3.41418175548452	0.33947783153115	ICGC
CURTIS_H000395_N01_01_WG01	-3.4729730944558	0.568624871277947	ICGC
CURTIS_H000396_N01_01_WG01	-2.91288226097776	0.370407295192612	ICGC
CURTIS_H000397_N01_01_WG01	-2.68724787306201	0.696402608069104	ICGC
CURTIS_H000398_N01_01_WG01	-3.05275529493351	1.31388083397271	ICGC
CURTIS_H000399_N01_01_WG01	-2.55231644294457	0.320054997711092	ICGC
CURTIS_H000400_N01_01_WG01	1.42124128473633	-5.04708792501148	ICGC
CURTIS_H000401_N01_01_WG01	-2.70224982037388	0.0789499067102449	ICGC
CURTIS_H000402_N01_01_WG01	-2.40242510361355	-0.160253652370373	ICGC
