sample	PC1	PC2	ancestry
HG00096	-2.0895391922188	0.506502229200845	EUR
HG00097	-1.64098322955198	0.0946257963114979	EUR
HG00099	-2.75231684538946	-0.43517406271347	EUR
HG00100	-2.62771768131616	0.412926225134954	EUR
HG00101	-2.15665159154518	0.85739630633179	EUR
HG00102	-2.78848542606593	-0.117489762094702	EUR
HG00103	-2.44040707427064	0.189457186805077	EUR
HG00104	-1.82704209514211	0.561926935142702	EUR
HG00106	-2.60573273731091	0.674109333044817	EUR
HG00108	-2.23245596938625	0.735857140279938	EUR
HG00109	-2.24998755940904	1.33802783103711	EUR
HG00110	-1.5281461304	0.39819752294698	EUR
HG00111	-1.95916179780675	1.19826413750662	EUR
HG00112	-1.82500055516246	-0.953821298021166	EUR
HG00113	-1.87953116380979	0.640830877456982	EUR
HG00114	-2.09310678976726	0.77357911861776	EUR
HG00116	-2.80097855713746	-0.200856464930688	EUR
HG00117	-3.4478629180342	0.166816209693565	EUR
HG00118	-1.51815195956552	0.630785196464161	EUR
HG00119	-0.933472994620477	0.591143855565484	EUR
HG00120	-1.98612374107828	0.0988226980621967	EUR
HG00121	-2.20154292756048	-0.0441530090104965	EUR
HG00122	-2.54330228903402	0.204830904916057	EUR
HG00123	-1.9191621968926	0.0887132379626188	EUR
HG00124	-2.04213727664696	0.0073271595884479	EUR
HG00125	-2.37414833177725	-0.022266811104818	EUR
HG00126	-1.8750361164463	-0.29513621565206	EUR
HG00127	-1.99534114669263	0.54185401271545	EUR
HG00128	-1.86997335292127	0.186184718167885	EUR
HG00129	-2.33569728663654	-0.0836912722850828	EUR
HG00130	-1.39278501062455	-0.294508665318777	EUR
HG00131	-1.47781470089038	0.878297298450736	EUR
HG00133	-1.90279501531261	1.01033959182756	EUR
HG00134	-1.98320258731315	-0.0695374194666025	EUR
HG00135	-2.14368868263102	0.337258491958636	EUR
HG00136	-2.09419708211068	-0.294983516538075	EUR
HG00137	-2.10557336375948	-0.374152038135248	EUR
HG00138	-2.23454604804359	-0.404202779352028	EUR
HG00139	-2.05493664217495	-0.0856095391810946	EUR
HG00140	-1.66264543932804	-0.472706708296292	EUR
HG00141	-2.27203451269118	0.426270319264483	EUR
HG00142	-1.6788888320485	-0.214081655084879	EUR
HG00143	-2.21448235231318	0.421536781794197	EUR
HG00146	-2.47600458253508	-0.0775991485373123	EUR
HG00148	-2.55531742419556	0.967774258060281	EUR
HG00149	-1.96078372852563	-0.184864912343981	EUR
HG00150	-2.30045568886039	-0.267804551552794	EUR
HG00151	-2.2846017581087	0.3306978038957	EUR
HG00152	-1.91330025405976	0.497690607739582	EUR
HG00154	-1.56874226950098	-0.0352649800136114	EUR
HG00156	-2.07499277524292	-0.488523613857852	EUR
HG00158	-1.83190085796785	0.274567427149849	EUR
HG00159	-2.09581674101671	0.315943852152063	EUR
HG00160	-2.03371108245921	-0.0827272085207542	EUR
HG00171	-1.9621875746556	0.337162307981673	EUR
HG00173	-1.60061901114428	0.895901938524096	EUR
HG00174	-2.21705425928031	0.0131143225514673	EUR
HG00176	-0.776237057798155	1.03345820244215	EUR
HG00177	-1.47902732450973	-0.0375967799311668	EUR
HG00178	-1.75739204311339	0.531670163517618	EUR
HG00179	-1.32763008876369	0.583077236850317	EUR
HG00180	-0.861871996514677	0.496079395950519	EUR
