sample	Myoep_cluster_fracECAD
20594_DCIS	0.022866646
20597_DCIS	0.534258325
20624_DCIS	0.327620369
20648_DCIS	0.107081977
20671_DCIS	0.121858562
20672_DCIS	0.036080419
20677_DCIS	0.011904762
20691-DCIS	0.004593429
20694_DCIS	0.012594458
20696_DCIS	0.192201801
20698_DCIS	0.065632002
20700_DCIS	0.183812915
20702_DCIS	0.066550926
20705_DCIS	0.061349693
20706_DCIS	0.141758242
20716_DCIS	0.062318314
20717_DCIS	0.17680764
20734_DCIS	0.029840259
20735_DCIS	0.07668948
20736_DCIS	0.147887324
30985-DCIS	0.075142315
31568_DCIS	0.467577233
31571_DCIS	0.033001293
31580_DCIS	0.24322068
31605_DCIS	0.00966317
31606_DCIS	0.079692199
31613_DCIS	0
31614_DCIS	0.273939394
31624_DCIS	0.050207223
31627_DCIS	0.128290999
31629_DCIS	0.168416154
31636_DCIS	0.421260299
31638_DCIS	0.209410767
31646_DCIS	0.09771987
31649_DCIS	0.055826118
31655-DCIS	0.075426557
31659_DCIS	0.132858069
31661_DCIS	0.231654242
31663_DCIS	0.006145431
31664-DCIS	0.069578936
31666-DCIS	0.147266881
31667_DCIS	0.099228518
31672_DCIS	0.216282225
31677_DCIS	0.142935939
31684_DCIS	0.122783643
31685_DCIS	0.002717391
31686_DCIS	0.057090239
31688_DCIS	0.130025495
31689_DCIS	0.137362637
31690_DCIS	0.0235286
31695_DCIS	0.103748163
31720_DCIS	0.019715601
31721_DCIS	0.153827197
