"sample"	"high"	"notna"	"unique"	"promprop"
"MB-0020"	4	6	4	0.666666666666667
"MB-0046"	3	6	6	0.5
"MB-0081"	3	5	6	0.6
"MB-0100"	2	4	6	0.5
"MB-0101"	2	6	6	0.333333333333333
"MB-0110"	3	6	6	0.5
"MB-0113"	1	4	6	0.25
"MB-0114"	4	5	6	0.8
"MB-0117"	3	6	6	0.5
"MB-0120"	4	6	5	0.666666666666667
"MB-0121"	4	6	5	0.666666666666667
"MB-0122"	1	5	5	0.2
"MB-0123"	3	6	6	0.5
"MB-0124"	4	6	6	0.666666666666667
"MB-0125"	3	6	6	0.5
"MB-0126"	3	5	4	0.6
"MB-0128"	2	5	6	0.4
"MB-0130"	0	4	3	0
"MB-0131"	3	5	6	0.6
"MB-0133"	2	5	6	0.4
"MB-0135"	3	6	5	0.5
"MB-0136"	3	6	6	0.5
"MB-0138"	2	4	4	0.5
"MB-0139"	4	6	6	0.666666666666667
"MB-0140"	4	6	5	0.666666666666667
"MB-0142"	2	6	6	0.333333333333333
"MB-0143"	3	5	5	0.6
"MB-0144"	2	5	6	0.4
"MB-0145"	1	5	6	0.2
"MB-0146"	3	6	6	0.5
"MB-0147"	2	6	5	0.333333333333333
"MB-0149"	2	6	3	0.333333333333333
"MB-0150"	4	5	6	0.8
"MB-0151"	3	5	6	0.6
"MB-0152"	3	6	5	0.5
"MB-0153"	3	6	6	0.5
"MB-0154"	3	5	6	0.6
"MB-0155"	3	6	6	0.5
"MB-0156"	3	6	6	0.5
"MB-0157"	3	5	6	0.6
"MB-0158"	3	6	6	0.5
"MB-0159"	3	5	4	0.6
"MB-0160"	4	6	6	0.666666666666667
"MB-0162"	3	6	5	0.5
"MB-0163"	2	4	6	0.5
"MB-0164"	3	6	5	0.5
"MB-0165"	3	6	6	0.5
"MB-0166"	1	4	6	0.25
"MB-0167"	1	4	6	0.25
"MB-0168"	3	5	6	0.6
"MB-0169"	4	6	6	0.666666666666667
"MB-0170"	3	6	6	0.5
"MB-0171"	4	6	6	0.666666666666667
"MB-0172"	3	6	5	0.5
"MB-0173"	3	5	6	0.6
"MB-0174"	3	6	5	0.5
"MB-0175"	3	6	6	0.5
"MB-0176"	3	6	6	0.5
"MB-0177"	4	6	5	0.666666666666667
"MB-0178"	2	2	4	1
"MB-0179"	3	5	5	0.6
"MB-0180"	2	6	6	0.333333333333333
"MB-0181"	4	6	6	0.666666666666667
"MB-0184"	2	6	4	0.333333333333333
"MB-0185"	2	6	3	0.333333333333333
"MB-0188"	3	6	6	0.5
"MB-0189"	3	6	6	0.5
"MB-0191"	3	6	5	0.5
"MB-0192"	1	6	6	0.166666666666667
"MB-0193"	3	6	6	0.5
"MB-0194"	2	6	6	0.333333333333333
"MB-0197"	3	5	6	0.6
"MB-0198"	3	6	6	0.5
"MB-0199"	4	6	5	0.666666666666667
"MB-0200"	4	6	6	0.666666666666667
"MB-0201"	3	6	6	0.5
"MB-0202"	3	5	6	0.6
"MB-0203"	4	6	5	0.666666666666667
"MB-0204"	3	6	6	0.5
"MB-0205"	1	5	6	0.2
"MB-0206"	1	4	6	0.25
"MB-0207"	2	3	6	0.666666666666667
"MB-0209"	3	6	6	0.5
"MB-0210"	4	6	5	0.666666666666667
"MB-0211"	3	5	6	0.6
"MB-0214"	3	5	5	0.6
"MB-0215"	3	6	6	0.5
"MB-0218"	2	3	5	0.666666666666667
"MB-0220"	3	5	6	0.6
"MB-0221"	3	6	5	0.5
"MB-0222"	3	6	6	0.5
"MB-0223"	3	5	6	0.6
"MB-0224"	4	6	5	0.666666666666667
"MB-0225"	3	6	5	0.5
"MB-0226"	4	6	6	0.666666666666667
"MB-0227"	4	6	4	0.666666666666667
"MB-0228"	2	6	3	0.333333333333333
"MB-0229"	3	6	6	0.5
"MB-0230"	3	6	5	0.5
"MB-0232"	3	5	6	0.6
"MB-0233"	2	6	6	0.333333333333333
"MB-0234"	2	5	5	0.4
"MB-0235"	2	5	6	0.4
"MB-0236"	2	6	6	0.333333333333333
"MB-0238"	3	6	6	0.5
"MB-0239"	3	6	6	0.5
"MB-0241"	3	5	6	0.6
"MB-0242"	3	5	6	0.6
"MB-0243"	3	5	6	0.6
"MB-0244"	4	6	6	0.666666666666667
"MB-0245"	4	6	6	0.666666666666667
"MB-0247"	4	6	6	0.666666666666667
"MB-0248"	3	6	6	0.5
"MB-0249"	2	6	6	0.333333333333333
"MB-0253"	2	5	6	0.4
"MB-0257"	1	4	6	0.25
"MB-0258"	3	5	6	0.6
"MB-0259"	2	6	6	0.333333333333333
"MB-0260"	3	4	4	0.75
"MB-0261"	3	5	6	0.6
"MB-0262"	3	6	6	0.5
"MB-0263"	2	6	3	0.333333333333333
"MB-0264"	3	6	6	0.5
"MB-0265"	4	5	5	0.8
"MB-0266"	2	6	6	0.333333333333333
"MB-0268"	4	6	4	0.666666666666667
"MB-0269"	3	6	6	0.5
"MB-0272"	2	5	6	0.4
"MB-0273"	4	6	5	0.666666666666667
"MB-0275"	2	5	6	0.4
"MB-0278"	3	6	6	0.5
"MB-0279"	3	6	5	0.5
"MB-0280"	3	6	6	0.5
"MB-0281"	2	6	5	0.333333333333333
"MB-0283"	3	6	6	0.5
"MB-0284"	2	4	6	0.5
"MB-0285"	2	5	6	0.4
"MB-0286"	4	6	5	0.666666666666667
"MB-0287"	4	6	6	0.666666666666667
"MB-0288"	4	6	6	0.666666666666667
"MB-0289"	1	6	5	0.166666666666667
"MB-0291"	2	5	6	0.4
"MB-0292"	1	6	4	0.166666666666667
"MB-0293"	3	6	6	0.5
"MB-0294"	3	6	6	0.5
"MB-0295"	4	6	4	0.666666666666667
"MB-0299"	3	6	6	0.5
"MB-0301"	2	6	6	0.333333333333333
"MB-0302"	2	5	6	0.4
"MB-0303"	1	3	6	0.333333333333333
"MB-0304"	2	4	6	0.5
"MB-0305"	3	6	6	0.5
"MB-0306"	4	5	5	0.8
"MB-0307"	3	6	6	0.5
"MB-0308"	4	6	6	0.666666666666667
"MB-0309"	3	6	6	0.5
"MB-0310"	3	5	6	0.6
"MB-0311"	3	5	6	0.6
"MB-0312"	3	6	5	0.5
"MB-0313"	3	6	6	0.5
"MB-0314"	3	4	6	0.75
"MB-0315"	4	6	3	0.666666666666667
"MB-0316"	3	6	6	0.5
"MB-0317"	2	6	5	0.333333333333333
"MB-0318"	4	5	6	0.8
"MB-0319"	3	5	6	0.6
"MB-0320"	4	6	6	0.666666666666667
"MB-0321"	4	5	5	0.8
"MB-0322"	2	5	6	0.4
"MB-0324"	3	6	6	0.5
"MB-0325"	4	6	5	0.666666666666667
"MB-0326"	4	5	6	0.8
"MB-0327"	3	6	6	0.5
"MB-0328"	2	4	6	0.5
"MB-0329"	3	6	6	0.5
"MB-0333"	4	6	6	0.666666666666667
"MB-0336"	3	5	6	0.6
"MB-0339"	3	6	6	0.5
"MB-0340"	3	6	5	0.5
"MB-0341"	4	5	6	0.8
"MB-0342"	2	3	6	0.666666666666667
"MB-0343"	3	5	6	0.6
"MB-0344"	3	4	6	0.75
"MB-0345"	3	5	5	0.6
"MB-0346"	2	5	6	0.4
"MB-0347"	2	6	6	0.333333333333333
"MB-0349"	2	5	6	0.4
"MB-0350"	3	6	6	0.5
"MB-0351"	2	6	6	0.333333333333333
"MB-0352"	3	6	6	0.5
"MB-0353"	2	5	6	0.4
"MB-0354"	1	4	6	0.25
