sample	celltype	frequency	proportion
MB-0020	B cells	1	0.00571428571428571
MB-0081	B cells	46	0.0155879362927821
MB-0114	B cells	1	0.00130718954248366
MB-0117	B cells	0	0
MB-0120	B cells	6	0.00775193798449612
MB-0121	B cells	0	0
MB-0122	B cells	0	0
MB-0123	B cells	0	0
MB-0124	B cells	0	0
MB-0126	B cells	3	0.00246103363412633
MB-0128	B cells	121	0.120398009950249
MB-0130	B cells	0	0
MB-0131	B cells	1	0.000599520383693046
MB-0133	B cells	0	0
MB-0135	B cells	0	0
MB-0136	B cells	1	0.000606796116504854
MB-0138	B cells	0	0
MB-0139	B cells	3	0.00630252100840336
MB-0140	B cells	1	0.000574712643678161
MB-0142	B cells	0	0
MB-0143	B cells	1	0.000761614623000762
MB-0144	B cells	0	0
MB-0145	B cells	25	0.0254582484725051
MB-0150	B cells	3	0.00249376558603491
MB-0151	B cells	62	0.0539130434782609
MB-0152	B cells	2	0.0158730158730159
MB-0153	B cells	1	0.00103842159916926
MB-0154	B cells	0	0
MB-0158	B cells	0	0
MB-0162	B cells	0	0
MB-0163	B cells	0	0
MB-0164	B cells	12	0.0287769784172662
MB-0165	B cells	6	0.00516351118760757
MB-0166	B cells	0	0
MB-0167	B cells	0	0
MB-0168	B cells	0	0
MB-0169	B cells	0	0
MB-0170	B cells	3	0.002601908065915
MB-0173	B cells	1	0.00546448087431694
MB-0174	B cells	0	0
MB-0175	B cells	0	0
MB-0176	B cells	3	0.0025531914893617
MB-0177	B cells	0	0
MB-0178	B cells	1	0.000859845227858985
MB-0179	B cells	2	0.00127469725940089
MB-0180	B cells	0	0
MB-0181	B cells	0	0
MB-0184	B cells	1	0.00029086678301338
MB-0185	B cells	0	0
MB-0188	B cells	0	0
MB-0189	B cells	0	0
MB-0191	B cells	0	0
MB-0192	B cells	0	0
MB-0193	B cells	2	0.00819672131147541
MB-0194	B cells	0	0
MB-0197	B cells	1	0.00497512437810945
MB-0198	B cells	0	0
MB-0199	B cells	1	0.000815660685154976
MB-0200	B cells	3	0.002601908065915
MB-0201	B cells	0	0
MB-0202	B cells	0	0
MB-0203	B cells	0	0
MB-0204	B cells	0	0
MB-0205	B cells	2	0.0050761421319797
MB-0206	B cells	9	0.00700389105058366
MB-0214	B cells	0	0
MB-0218	B cells	19	0.0194672131147541
MB-0220	B cells	0	0
MB-0221	B cells	11	0.00521327014218009
MB-0222	B cells	4	0.00355871886120996
MB-0223	B cells	0	0
MB-0224	B cells	0	0
MB-0225	B cells	0	0
MB-0227	B cells	0	0
MB-0228	B cells	0	0
MB-0232	B cells	0	0
MB-0233	B cells	38	0.102981029810298
