sample	ERBB2_CNA	RSF1_CNA	ZNF703_CNA	MYC_CNA	RPS6KB1_CNA
TCGA-A1-A0SD	0	0	0	0	0
TCGA-A1-A0SE	0	0	0	0	0
TCGA-A1-A0SF	0	0	0	0	0
TCGA-A1-A0SG	0	0	1	0	0
TCGA-A1-A0SH	0	0	0	0	0
TCGA-A1-A0SI	0	0	0	0	0
TCGA-A1-A0SM	1	1	0	0	0
TCGA-A1-A0SN	0	0	0	0	0
TCGA-A1-A0SO	0	0	0	0	0
TCGA-A1-A0SP	0	0	0	0	0
TCGA-A1-A0SQ	0	0	0	0	0
TCGA-A2-A04N	0	0	0	1	0
TCGA-A2-A04Q	0	0	0	1	0
TCGA-A2-A04T	0	0	0	1	0
TCGA-A2-A04U	0	0	0	1	0
TCGA-A2-A04V	0	0	1	0	0
TCGA-A2-A04W	1	0	0	0	0
TCGA-A2-A04Y	0	0	0	0	0
TCGA-A2-A0CK	0	0	0	0	0
TCGA-A2-A0CO	0	0	0	0	0
TCGA-A2-A0CP	0	0	0	0	0
TCGA-A2-A0CS	0	0	0	0	0
TCGA-A2-A0CT	1	0	1	1	1
TCGA-A2-A0CU	0	0	1	1	0
TCGA-A2-A0CW	0	0	0	1	0
TCGA-A2-A0CX	0	0	0	1	1
TCGA-A2-A0D1	1	0	1	1	0
TCGA-A2-A0D2	0	0	0	0	0
TCGA-A2-A0D3	0	0	0	0	0
TCGA-A2-A0EM	0	0	0	0	0
TCGA-A2-A0EN	0	0	0	0	0
TCGA-A2-A0EO	0	0	0	0	0
TCGA-A2-A0EP	0	0	0	0	0
TCGA-A2-A0ER	0	1	1	0	0
TCGA-A2-A0ES	0	0	0	0	0
TCGA-A2-A0ET	0	0	0	0	0
TCGA-A2-A0EU	0	0	1	1	0
TCGA-A2-A0EV	1	0	0	0	1
TCGA-A2-A0EW	0	1	1	0	0
TCGA-A2-A0EX	0	0	0	1	0
TCGA-A2-A0EY	1	0	0	0	0
TCGA-A2-A0ST	0	0	0	0	0
TCGA-A2-A0SU	0	0	0	0	0
TCGA-A2-A0SV	0	0	1	1	0
TCGA-A2-A0SW	0	0	0	0	0
TCGA-A2-A0SX	0	0	0	0	0
TCGA-A2-A0SY	1	0	0	0	0
TCGA-A2-A0T0	0	0	0	1	0
TCGA-A2-A0T2	0	0	0	0	0
TCGA-A2-A0T3	0	0	0	0	0
TCGA-A2-A0T4	0	1	0	0	0
TCGA-A2-A0T5	0	0	0	0	0
TCGA-A2-A0T6	0	0	0	0	0
TCGA-A2-A0T7	0	0	0	1	0
TCGA-A2-A0YC	0	0	0	0	0
TCGA-A2-A0YD	0	0	0	0	0
TCGA-A2-A0YE	0	1	0	0	0
TCGA-A2-A0YG	0	0	0	0	1
TCGA-A2-A0YH	0	0	1	1	0
TCGA-A2-A0YI	0	0	0	0	0
TCGA-A2-A0YJ	0	0	0	1	0
TCGA-A2-A0YK	0	0	1	0	0
TCGA-A2-A0YL	0	0	0	0	1
TCGA-A2-A0YM	0	0	0	1	0
TCGA-A2-A0YT	0	0	1	1	1
TCGA-A2-A1FV	0	0	1	0	0
TCGA-A2-A1FW	0	0	0	1	1
TCGA-A2-A1FX	0	1	0	0	0
TCGA-A2-A1FZ	0	0	0	0	0
TCGA-A2-A1G0	0	0	0	0	0
TCGA-A2-A1G1	0	0	0	1	0
TCGA-A2-A1G4	0	0	1	0	0
TCGA-A2-A1G6	0	0	0	0	0
TCGA-A2-A25A	0	0	0	0	0
TCGA-A2-A25C	0	0	0	0	0
TCGA-A2-A25D	0	0	0	1	0
TCGA-A2-A25F	0	0	0	0	0
TCGA-A2-A3KD	0	0	0	0	0
TCGA-A2-A4RW	0	0	0	0	0
TCGA-A2-A4RY	0	0	1	0	0
TCGA-A2-A4S0	0	0	0	0	0
TCGA-A2-A4S1	0	0	0	0	0
TCGA-A2-A4S2	0	0	0	0	0
TCGA-A7-A0CD	1	0	0	0	1
TCGA-A7-A0CE	0	0	0	0	0
TCGA-A7-A0CG	0	0	0	0	0
TCGA-A7-A0CJ	0	0	0	1	0
TCGA-A7-A0D9	0	0	1	1	0
TCGA-A7-A0DA	0	0	0	1	0
