sample	wbs_0.25_1	wbs_0.25_2	wbs_0.25_3	wbs_0.25_5	wbs_0.5_1	wbs_0.5_2	wbs_0.5_3	wbs_0.5_5	wbs_1_1	wbs_1_2	wbs_1_3	wbs_1_5
TCGA-A1-A0SD	0	-0.5	0	0.25	0	-0.5	0	0.25	0	-0.5	0	0.25
TCGA-A1-A0SE	0	0.166666666666667	-0.166666666666667	-0.166666666666667	-0.166666666666667	0	-0.333333333333333	-0.333333333333333	0	0.166666666666667	-0.166666666666667	-0.166666666666667
TCGA-A1-A0SF	-0.166666666666667	-0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.5	0.5	0	0	0.333333333333333	0.333333333333333
TCGA-A1-A0SG	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A1-A0SH	-0.458333333333333	-0.25	-0.0416666666666667	-1.125	-0.333333333333333	-0.125	0.0833333333333333	-1	0	0.208333333333333	0.416666666666667	-0.666666666666667
TCGA-A1-A0SI	0	0	-0.166666666666667	0.333333333333333	0.166666666666667	0.166666666666667	0	0.5	0	0	-0.166666666666667	0.333333333333333
TCGA-A1-A0SM	-0.166666666666667	-0.5	-0.833333333333333	-1	-0.166666666666667	-0.5	-0.833333333333333	-1	0	-0.333333333333333	-0.666666666666667	-0.833333333333333
TCGA-A1-A0SN	0	-0.166666666666667	-0.166666666666667	0	0.166666666666667	0	0	0.166666666666667	0	-0.166666666666667	-0.166666666666667	0
TCGA-A1-A0SO	0.166666666666667	-0.333333333333333	-0.333333333333333	0	0.166666666666667	-0.333333333333333	-0.333333333333333	0	0	-0.5	-0.5	-0.166666666666667
TCGA-A1-A0SP	-0.25	-0.333333333333333	-1.16666666666667	-0.333333333333333	-0.25	-0.333333333333333	-1.16666666666667	-0.333333333333333	0	-0.0833333333333333	-0.916666666666667	-0.0833333333333333
TCGA-A1-A0SQ	0.05	0.05	-0.1	-0.7	-0.1	-0.1	-0.25	-0.85	0	0	-0.15	-0.75
TCGA-A2-A04N	0	-0.5	-1.16666666666667	-1.16666666666667	-0.166666666666667	-0.666666666666667	-1.33333333333333	-1.33333333333333	0	-0.5	-1.16666666666667	-1.16666666666667
TCGA-A2-A04Q	0.266666666666667	0.2	0.1	0.366666666666667	0.133333333333333	0.0666666666666667	-0.0333333333333333	0.233333333333333	0	-0.0666666666666667	-0.166666666666667	0.1
TCGA-A2-A04T	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A04U	-0.166666666666667	-0.666666666666667	-0.833333333333333	-1.33333333333333	-0.166666666666667	-0.666666666666667	-0.833333333333333	-1.33333333333333	0	-0.5	-0.666666666666667	-1.16666666666667
TCGA-A2-A04V	-0.233333333333333	-0.2	-0.166666666666667	-1.26666666666667	-0.0333333333333333	-2.77555756156289e-17	0.0333333333333333	-1.06666666666667	0	0.0333333333333333	0.0666666666666667	-1.03333333333333
TCGA-A2-A04W	-0.541666666666667	-0.583333333333333	-1.25	0.25	-0.708333333333333	-0.75	-1.41666666666667	0.0833333333333333	0	-0.0416666666666667	-0.708333333333333	0.791666666666667
TCGA-A2-A04Y	-0.35	-0.4	-0.7	0	-0.35	-0.4	-0.7	0	0	-0.05	-0.35	0.35
TCGA-A2-A0CK	-0.458333333333333	-0.708333333333333	-0.708333333333333	-0.291666666666667	-0.166666666666667	-0.416666666666667	-0.416666666666667	0	0	-0.25	-0.25	0.166666666666667
TCGA-A2-A0CO	0	-0.333333333333333	-1	-0.833333333333333	-0.166666666666667	-0.5	-1.16666666666667	-1	0	-0.333333333333333	-1	-0.833333333333333
TCGA-A2-A0CP	0	-0.166666666666667	-0.166666666666667	-0.166666666666667	0	-0.166666666666667	-0.166666666666667	-0.166666666666667	0	-0.166666666666667	-0.166666666666667	-0.166666666666667
TCGA-A2-A0CS	0	-0.333333333333333	-0.833333333333333	-1	-0.166666666666667	-0.5	-1	-1.16666666666667	0	-0.333333333333333	-0.833333333333333	-1
TCGA-A2-A0CT	0	-0.5	-0.416666666666667	-0.0833333333333333	0	-0.5	-0.416666666666667	-0.0833333333333333	0	-0.5	-0.416666666666667	-0.0833333333333333
TCGA-A2-A0CU	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A0CW	0	-0.25	0.25	0.25	0	-0.25	0.25	0.25	0	-0.25	0.25	0.25
TCGA-A2-A0CX	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A0D1	-0.166666666666667	0	0.166666666666667	-0.833333333333333	-0.166666666666667	0	0.166666666666667	-0.833333333333333	0	0.166666666666667	0.333333333333333	-0.666666666666667
TCGA-A2-A0D2	-0.166666666666667	-0.458333333333333	-0.791666666666667	-0.875	-0.25	-0.541666666666667	-0.875	-0.958333333333333	0	-0.291666666666667	-0.625	-0.708333333333333
TCGA-A2-A0D3	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A0EM	0	-0.25	-0.25	-0.25	0.25	0	0	0	0	-0.25	-0.25	-0.25
TCGA-A2-A0EN	0	-0.333333333333333	-0.333333333333333	-0.5	0.333333333333333	0	0	-0.166666666666667	0	-0.333333333333333	-0.333333333333333	-0.5
TCGA-A2-A0EO	-0.125	-0.541666666666667	-0.0833333333333333	-0.5	-0.125	-0.541666666666667	-0.0833333333333333	-0.5	0	-0.416666666666667	0.0416666666666667	-0.375
TCGA-A2-A0EP	-0.583333333333333	0.0416666666666667	-0.458333333333333	-0.333333333333333	-0.333333333333333	0.291666666666667	-0.208333333333333	-0.0833333333333333	0	0.625	0.125	0.25
TCGA-A2-A0ER	0	0	0	-0.5	0	0	0	-0.5	0	0	0	-0.5
TCGA-A2-A0ES	0	-0.166666666666667	-0.833333333333333	-1.16666666666667	-0.333333333333333	-0.5	-1.16666666666667	-1.5	0	-0.166666666666667	-0.833333333333333	-1.16666666666667
TCGA-A2-A0ET	0	-0.166666666666667	-0.166666666666667	-0.166666666666667	-0.166666666666667	-0.333333333333333	-0.333333333333333	-0.333333333333333	0	-0.166666666666667	-0.166666666666667	-0.166666666666667
TCGA-A2-A0EU	0	-0.333333333333333	-0.333333333333333	-0.166666666666667	0	-0.333333333333333	-0.333333333333333	-0.166666666666667	0	-0.333333333333333	-0.333333333333333	-0.166666666666667
TCGA-A2-A0EV	-0.333333333333333	-0.5	-0.416666666666667	0	-0.333333333333333	-0.5	-0.416666666666667	0	0	-0.166666666666667	-0.0833333333333333	0.333333333333333
TCGA-A2-A0EW	-0.166666666666667	-0.458333333333333	-0.458333333333333	0.208333333333333	-0.166666666666667	-0.458333333333333	-0.458333333333333	0.208333333333333	0	-0.291666666666667	-0.291666666666667	0.375
TCGA-A2-A0EX	0	-0.3	-0.55	-0.45	-0.2	-0.5	-0.75	-0.65	0	-0.3	-0.55	-0.45
TCGA-A2-A0EY	-0.4	-0.2	-0.15	-0.45	-0.25	-0.05	0	-0.3	0	0.2	0.25	-0.05
TCGA-A2-A0ST	0	0	0	0	0	0	0	0	0	0	0	0
