sample	wbs_0.5_2	wbs_0.5_3	wbs_0.5_4	wbs_0.25_2	wbs_0.25_3	wbs_0.25_4	pam50	PC1	PC2	PC3	PC4	PC5
TCGA-A1-A0SD	-0.5	0	-0.25	-0.5	0	-0.25	LumA	-0.00354833	0.00772775	-0.00269817	0.0149492	0.00466866
TCGA-A1-A0SE	-0.333333333333333	0.166666666666667	0.333333333333333	-0.333333333333333	0.166666666666667	0.333333333333333	LumA	-0.0140024	0.0188122	0.00819882	0.00286308	-0.00109576
TCGA-A1-A0SF	0	0.166666666666667	0.166666666666667	-0.333333333333333	-0.166666666666667	-0.166666666666667	LumA	-0.00328241	0.0076302	-0.0119428	0.0228044	0.00600076
TCGA-A1-A0SG	0	0	0	0	0	0	LumA	-0.00675108	0.0108433	-0.00881704	0.023236	0.00388019
TCGA-A1-A0SH	0.25	-0.0416666666666667	-0.208333333333333	0.25	-0.0416666666666667	-0.208333333333333	LumA	-0.00953554	0.0142113	0.00413378	0.00570965	-0.00094288
TCGA-A1-A0SI	0	0.333333333333333	0	0	0.333333333333333	0	Her2	-0.00410178	0.00914367	-0.0102697	0.022409	0.00372728
TCGA-A1-A0SM	-0.333333333333333	-0.166666666666667	-0.166666666666667	-0.5	-0.333333333333333	-0.333333333333333	Her2	-0.00626937	0.0100882	-0.000435647	0.0132983	0.000550226
TCGA-A1-A0SN	0.166666666666667	0	-0.833333333333333	0.666666666666667	0.5	-0.333333333333333	LumB	-0.00311896	0.00734923	-0.010285	0.0210845	0.00288942
TCGA-A1-A0SO	0	-0.166666666666667	-0.166666666666667	0	-0.166666666666667	-0.166666666666667	Basal	-0.0123696	0.0171103	0.00651257	0.00510165	-0.00120104
TCGA-A1-A0SP	-1.08333333333333	-0.333333333333333	-0.666666666666667	-1.08333333333333	-0.333333333333333	-0.666666666666667	Basal	-0.0124571	0.0175816	0.00747766	0.00304759	-0.00107154
TCGA-A1-A0SQ	-0.05	0.5	0.3	-0.2	0.35	0.15	LumA	-0.00290519	0.00832094	-0.000148522	0.0118813	0.00182372
TCGA-A2-A04N	-0.333333333333333	-0.333333333333333	-0.833333333333333	0	0	-0.5	LumA	-0.00408386	0.00660563	-0.00288043	0.0140338	0.00226229
TCGA-A2-A04Q	0.5	0.266666666666667	-0.3	0.333333333333333	0.1	-0.466666666666667	Basal	-0.00798016	0.0127961	0.00228294	0.00662282	-0.000398846
TCGA-A2-A04T	0	0	0	0	0	0	Basal	-0.0150297	0.0257613	0.0153991	0.00982865	0.00398325
TCGA-A2-A04U	-0.166666666666667	-0.166666666666667	-0.666666666666667	-0.166666666666667	-0.166666666666667	-0.666666666666667	Basal	-0.00505048	0.00803789	-0.00186784	0.0141488	0.00125872
TCGA-A2-A04V	0.233333333333333	0.366666666666667	0.2	0.333333333333333	0.466666666666667	0.3	LumB	-0.00748057	0.0133673	0.00336785	0.00614829	0.000374045
TCGA-A2-A04W	-0.291666666666667	0	0.458333333333333	-0.583333333333333	-0.291666666666667	0.166666666666667	Her2	-0.00823072	0.0122849	0.000952106	0.0148943	0.00227103
TCGA-A2-A04Y	-0.9	-0.25	-0.65	-0.85	-0.2	-0.6	LumB	-0.00749232	0.0124857	0.00293416	0.00919291	0.000847483
TCGA-A2-A0CK	0.0833333333333333	-0.458333333333333	-0.166666666666667	0.0416666666666667	-0.5	-0.208333333333333	LumA	-0.011877	-0.0168749	0.00264559	0.00564802	-0.00649173
TCGA-A2-A0CO	-0.166666666666667	-0.333333333333333	-0.833333333333333	-0.166666666666667	-0.333333333333333	-0.833333333333333	LumA	-0.0134446	-0.016868	0.00309902	0.00640306	-0.0080461
TCGA-A2-A0CP	-0.333333333333333	0	-0.5	-0.166666666666667	0.166666666666667	-0.333333333333333	LumA	-0.00813356	0.0128137	0.0039531	0.00672882	0.00318751
TCGA-A2-A0CS	-0.333333333333333	-0.166666666666667	-0.5	-0.166666666666667	0	-0.333333333333333	LumA	-0.00208719	0.00493437	-0.00520063	0.0129047	0.00137106
TCGA-A2-A0CT	-0.291666666666667	-0.0416666666666667	-0.541666666666667	-0.25	0	-0.5	LumB	-0.00876746	0.0216125	0.0353469	-0.0120141	-0.00323844
TCGA-A2-A0CU	0	0	0	0	0	0	LumB	-0.00932452	0.0190512	0.00757322	0.012897	0.00401169
TCGA-A2-A0CW	0	-0.25	-0.25	0.25	0	0	LumB	-0.00236462	0.00566782	-0.00418735	0.0188451	0.00232848
TCGA-A2-A0CX	0	0	0	0	0	0	Her2	-0.00765302	0.0193069	0.031888	-0.0103069	-0.00389436
TCGA-A2-A0D1	-0.166666666666667	-0.333333333333333	-0.666666666666667	0.166666666666667	0	-0.333333333333333	Her2	-0.00879549	0.0166882	0.00434837	0.0198394	0.00804581
TCGA-A2-A0D2	0	-0.125	-0.375	0.166666666666667	0.0416666666666667	-0.208333333333333	Basal	-0.0100641	0.0180798	0.00594019	0.0220812	0.00625531
TCGA-A2-A0D3	0	0	0	0	0	0	LumA	-0.00442494	0.00781517	-0.00196008	0.0141665	0.00362213
TCGA-A2-A0EM	0.25	-0.5	-1	0.75	0	-0.5	LumA	-0.00985024	0.020657	0.00931032	0.014195	0.00502338
TCGA-A2-A0EN	-0.333333333333333	0	-0.666666666666667	0.166666666666667	0.5	-0.166666666666667	LumA	-0.009869	0.0134494	-0.00322072	0.0162475	0.00192888
TCGA-A2-A0EO	-0.125	0.291666666666667	-0.208333333333333	-0.25	0.166666666666667	-0.333333333333333	LumA	-0.00476675	0.0129808	0.000545068	0.0199784	0.0058354
TCGA-A2-A0EP	0.0833333333333333	-0.166666666666667	0	-0.291666666666667	-0.541666666666667	-0.375	LumA	-0.0165865	-0.0171837	0.00316346	0.00989155	-0.0084996
TCGA-A2-A0ER	0.25	0.25	-0.25	0.25	0.25	-0.25	LumB	-0.0108798	0.0215529	0.010258	0.0143423	0.00466503
TCGA-A2-A0ES	0	-0.166666666666667	-0.5	0.166666666666667	0	-0.333333333333333	LumA	-0.00368564	0.00740646	-0.00231985	0.0136781	0.00186472
TCGA-A2-A0ET	0	0.166666666666667	0.333333333333333	-0.166666666666667	0	0.166666666666667	LumB	-0.00934492	0.0171947	0.00747015	0.0158534	0.00377383
TCGA-A2-A0EU	-0.333333333333333	-0.166666666666667	-0.5	-0.166666666666667	0	-0.333333333333333	LumA	-0.00997643	0.0209891	0.033523	-0.0163128	0.00763066
TCGA-A2-A0EV	-0.791666666666667	-0.208333333333333	-0.416666666666667	-0.75	-0.166666666666667	-0.375	LumA	-0.00489807	0.00970665	0.0027006	0.00764959	-0.000147338
TCGA-A2-A0EW	-0.333333333333333	-0.0416666666666667	-0.458333333333333	-0.166666666666667	0.125	-0.291666666666667	LumA	-0.000445776	0.00508547	-0.0044374	0.0188847	0.0030083
TCGA-A2-A0EX	0.5	0.25	-0.35	0.4	0.15	-0.45	LumA	-0.00439331	0.0083064	0.000598041	0.00802574	-0.000481192
TCGA-A2-A0EY	0	-0.4	-0.4	0.15	-0.25	-0.25	Her2	-0.00484945	0.00970802	0.00180908	0.0076131	0.000241246
TCGA-A2-A0ST	0	0	0	0	0	0	Basal	0.000895166	0.00102969	-0.00842175	0.0122171	-0.000392465
TCGA-A2-A0SU	-0.5	0	-0.166666666666667	-0.5	0	-0.166666666666667	LumA	-0.0105813	0.0147256	0.00401335	0.00570073	-0.000766026
TCGA-A2-A0SV	-0.166666666666667	0.166666666666667	-0.333333333333333	-0.166666666666667	0.166666666666667	-0.333333333333333	LumB	-0.00247222	0.00905347	-0.000370206	0.014821	0.00428316
TCGA-A2-A0SW	0.0833333333333333	-0.166666666666667	-0.375	0.333333333333333	0.0833333333333333	-0.125	LumB	-0.00087617	0.00609087	-0.000481563	0.01065	0.0019981
TCGA-A2-A0SX	-0.8	0	-0.6	-0.6	0.2	-0.4	Basal	-0.00420009	0.00801431	-0.00205052	0.0136257	0.00120685
TCGA-A2-A0SY	-0.166666666666667	-0.333333333333333	-0.666666666666667	-0.166666666666667	-0.333333333333333	-0.666666666666667	LumA	-0.00217234	0.00526005	-0.0044225	0.012925	0.00105417
TCGA-A2-A0T0	-0.5	0	-1.33333333333333	0.166666666666667	0.666666666666667	-0.666666666666667	Basal	-0.00900312	0.0157762	0.00139415	0.01831	0.00623872
TCGA-A2-A0T2	0	0	-0.333333333333333	0	0	-0.333333333333333	Basal	-0.00789626	0.0139312	-0.0113673	0.0262979	0.00393101
TCGA-A2-A0T3	0	0	0	0	0	0	LumB	-0.00359245	0.00890951	-0.00750046	0.0216264	0.00425574
TCGA-A2-A0T4	0.625	0.458333333333333	0.375	0.416666666666667	0.25	0.166666666666667	LumB	-0.0113858	0.015632	0.00352336	0.00687123	-0.000630942
TCGA-A2-A0T5	0	-0.166666666666667	-0.333333333333333	0	-0.166666666666667	-0.333333333333333	LumA	-0.0171088	0.0223504	0.00404964	0.0123185	0.00153334
TCGA-A2-A0T6	0	0	0	0	0	0	LumA	0.00158261	0.000253064	-0.00825169	0.0102271	-0.00032189
TCGA-A2-A0T7	0	0	-1.2	0.4	0.4	-0.8	Normal	-0.00563981	0.00913624	-0.00216293	0.0148731	0.00116485
TCGA-A2-A0YC	-0.333333333333333	0	-0.166666666666667	-0.166666666666667	0.166666666666667	0	LumB	-0.00672882	0.0112842	0.000730639	0.0117319	0.00130316
TCGA-A2-A0YD	0.0833333333333333	-0.125	-0.916666666666667	0.166666666666667	-0.0416666666666667	-0.833333333333333	LumA	-0.00743003	0.011588	-0.000606736	0.0139907	0.00154662
TCGA-A2-A0YE	0.166666666666667	0.333333333333333	0	0	0.166666666666667	-0.166666666666667	Basal	-0.00620246	0.0088845	-0.00150421	0.013012	0.000697417
TCGA-A2-A0YG	-0.625	-0.5	-0.958333333333333	-0.416666666666667	-0.291666666666667	-0.75	LumB	-0.00701633	0.0142419	0.00198396	0.0134522	0.00396687
TCGA-A2-A0YH	0.791666666666667	0.583333333333333	0.375	0.583333333333333	0.375	0.166666666666667	LumB	-0.00455707	0.00750951	-0.00364942	0.0119172	0.000265363
TCGA-A2-A0YI	0.4	0	-0.2	0.4	0	-0.2	LumA	-0.0043871	0.00859778	-0.00381376	0.018095	0.00300329
TCGA-A2-A0YJ	0	0	0	0	0	0	Basal	-0.00448962	0.0101165	-0.00357788	0.0178721	0.00486344
TCGA-A2-A0YK	-0.125	-0.333333333333333	-0.166666666666667	0.0416666666666667	-0.166666666666667	0	Normal	-0.00530174	0.00865962	-0.00344117	0.0145107	0.00184172
TCGA-A2-A0YL	-0.208333333333333	-0.291666666666667	-0.791666666666667	0.208333333333333	0.125	-0.375	LumA	-0.00352136	0.00574066	-0.00398857	0.0133625	0.000366996
TCGA-A2-A0YM	0	0	0	0	0	0	Basal	-0.00901118	0.0140835	0.00269317	0.0112122	0.000667157
TCGA-A2-A0YT	0.125	-0.125	-1.08333333333333	0.166666666666667	-0.0833333333333333	-1.04166666666667	LumB	-0.00416327	0.00687444	-0.00388421	0.0130875	0.000227138
TCGA-A2-A1FV	-0.333333333333333	0.166666666666667	0.333333333333333	-0.5	0	0.166666666666667	LumA	-0.00229406	0.00810392	-0.00749095	0.0244847	0.00499799
TCGA-A2-A1FW	-0.05	0.05	-0.45	-0.3	-0.2	-0.7	LumB	-0.00467636	0.00933295	-0.00722401	0.0215242	0.00352819
TCGA-A2-A1FX	-0.208333333333333	-0.208333333333333	-0.0833333333333333	-0.166666666666667	-0.166666666666667	-0.0416666666666667	LumB	-0.00249955	0.00883416	-0.00778603	0.0254526	0.00535076
TCGA-A2-A1FZ	0.5	0.4	-0.35	0.25	0.15	-0.6	LumA	-0.00263995	0.00661083	-0.00809545	0.0183477	0.00193762
TCGA-A2-A1G0	-0.333333333333333	-0.166666666666667	-1	0	0.166666666666667	-0.666666666666667	LumA	-0.00591109	0.0103818	-0.00694661	0.0196247	0.00213619
TCGA-A2-A1G1	-0.25	-0.333333333333333	-0.541666666666667	-0.0833333333333333	-0.166666666666667	-0.375	Basal	-0.00374688	0.0100685	-0.00719813	0.0262305	0.00559057
TCGA-A2-A1G4	-0.0833333333333333	-0.166666666666667	-0.25	0.0833333333333333	0	-0.0833333333333333	LumB	-0.00187037	0.00675859	-0.00141708	0.0125505	0.00206756
TCGA-A2-A1G6	-0.8	-0.2	-0.466666666666667	-0.866666666666667	-0.266666666666667	-0.533333333333333	Normal	-0.0032797	0.00925959	-0.00566719	0.0225769	0.00462139
TCGA-A2-A25A	-0.75	0	-0.25	-0.75	0	-0.25	Normal	-0.0028576	0.00681967	-0.0077364	0.0176723	0.00196652
TCGA-A2-A25C	-0.0833333333333333	0.166666666666667	0.375	-0.208333333333333	0.0416666666666667	0.25	LumB	-0.00303839	0.00921891	-0.00638937	0.0247923	0.00528893
TCGA-A2-A25D	0.166666666666667	0	-0.166666666666667	0.166666666666667	0	-0.166666666666667	LumB	-0.00294205	0.00775818	-0.00985507	0.0240534	0.00308897
