chr	start	gene	snp	maf	end	gnomad
17	37855834	ERBB2	17_37855834	0.127450980392157	37855834	0.13
17	37856534	ERBB2	17_37856534	0.000980392156862745	37856534	8e-04
17	37863248	ERBB2	17_37863248	0.00294117647058824	37863248	1e-04
17	37864776	ERBB2	17_37864776	0.000980392156862745	37864776	2e-04
17	37871547	ERBB2	17_37871547	0.00588235294117647	37871547	0.004
17	37879588	ERBB2	17_37879588	0.22156862745098	37879588	0.25
17	37882019	ERBB2	17_37882019	0.000980392156862745	37882019	6e-05
17	37883561	ERBB2	17_37883561	0.0362745098039216	37883561	0
17	37884037	ERBB2	17_37884037	0.331372549019608	37884037	0.35
17	37884073	ERBB2	17_37884073	0.000980392156862745	37884073	0
17	37884176	ERBB2	17_37884176	0.00686274509803922	37884176	0.007
8	128750527	MYC	8_128750527	0.00196078431372549	128750527	0.002
8	128750540	MYC	8_128750540	0.0323529411764706	128750540	0.04
8	128750680	MYC	8_128750680	0.053921568627451	128750680	0
8	128752745	MYC	8_128752745	0.000980392156862745	128752745	3e-04
8	128752924	MYC	8_128752924	0.00196078431372549	128752924	4e-04
17	57651146	DHX40	17_57651146	0.00196078431372549	57651146	0.001
17	57665268	DHX40	17_57665268	0.000980392156862745	57665268	0
17	57683027	DHX40	17_57683027	0.000980392156862745	57683027	0
17	57684411	DHX40	17_57684411	0.000980392156862745	57684411	6e-05
17	57684468	DHX40	17_57684468	0.000980392156862745	57684468	0
17	58012635	RPS6KB1	17_58012635	0.000980392156862745	58012635	0
11	77383137	RSF1	11_77383137	0.000980392156862745	77383137	0.001
11	77386155	RSF1	11_77386155	0.000980392156862745	77386155	0.002
11	77386177	RSF1	11_77386177	0.00196078431372549	77386177	8e-04
11	77386245	RSF1	11_77386245	0.000980392156862745	77386245	0
11	77409710	RSF1	11_77409710	0.000980392156862745	77409710	0
11	77411845	RSF1	11_77411845	0.000980392156862745	77411845	5e-04
11	77412100	RSF1	11_77412100	0.000980392156862745	77412100	0
11	77412344	RSF1	11_77412344	0.00686274509803922	77412344	0.006
11	77412373	RSF1	11_77412373	0.000980392156862745	77412373	0
11	77412456	RSF1	11_77412456	0.00294117647058824	77412456	0.005
11	77412646	RSF1	11_77412646	0.0274509803921569	77412646	0.02
11	77412755	RSF1	11_77412755	0.00980392156862745	77412755	0.006
11	77412851	RSF1	11_77412851	0.249019607843137	77412851	0.23
11	77413207	RSF1	11_77413207	0.000980392156862745	77413207	0
11	77413349	RSF1	11_77413349	0.000980392156862745	77413349	0
11	77413429	RSF1	11_77413429	0.00294117647058824	77413429	0.001
11	77436712	RSF1	11_77436712	0.000980392156862745	77436712	0
11	77531616	RSF1	11_77531616	0.000980392156862745	77531616	0
11	77531732	RSF1	11_77531732	0.00882352941176471	77531732	0
8	126019674	SQLE	8_126019674	0.000980392156862745	126019674	0
8	126021414	SQLE	8_126021414	0.0186274509803922	126021414	0.02
8	126021519	SQLE	8_126021519	0.000980392156862745	126021519	0.002
17	57941166	TUBD1	17_57941166	0.000980392156862745	57941166	0.001
17	57944003	TUBD1	17_57944003	0.000980392156862745	57944003	0
17	57963537	TUBD1	17_57963537	0.467647058823529	57963537	0.44
17	58786625	BCAS3	17_58786625	0.011764705882353	58786625	0.005
17	58786681	BCAS3	17_58786681	0.000980392156862745	58786681	8e-04
17	58824617	BCAS3	17_58824617	0.0264705882352941	58824617	0.02
17	58945958	BCAS3	17_58945958	0.000980392156862745	58945958	0
17	58988050	BCAS3	17_58988050	0.000980392156862745	58988050	0
17	59024699	BCAS3	17_59024699	0.000980392156862745	59024699	0
17	59093231	BCAS3	17_59093231	0.000980392156862745	59093231	1e-04
17	59112044	BCAS3	17_59112044	0.000980392156862745	59112044	0
17	59115285	BCAS3	17_59115285	0.000980392156862745	59115285	6e-05
17	59457896	BCAS3	17_59457896	0.000980392156862745	59457896	1e-04
17	59457902	BCAS3	17_59457902	0.000980392156862745	59457902	0
17	59465991	BCAS3	17_59465991	0.00784313725490196	59465991	0
17	59469470	BCAS3	17_59469470	0.000980392156862745	59469470	6e-05
11	78189653	NARS2	11_78189653	0.0294117647058824	78189653	0.03
11	78279790	NARS2	11_78279790	0.206862745098039	78279790	0.2
11	78285527	NARS2	11_78285527	0.000980392156862745	78285527	0
