chr	start	gene	snp	maf	end	gnomad
17	37855834	ERBB2	17_37855834	0.10961810466761	37855834	0.13
17	37863269	ERBB2	17_37863269	0.000707213578500707	37863269	6e-05
17	37868691	ERBB2	17_37868691	0.000707213578500707	37868691	6e-05
17	37871547	ERBB2	17_37871547	0.00424328147100424	37871547	0.004
17	37871726	ERBB2	17_37871726	0.000707213578500707	37871726	0
17	37872586	ERBB2	17_37872586	0.000707213578500707	37872586	6e-05
17	37879588	ERBB2	17_37879588	0.218528995756719	37879588	0.25
17	37882851	ERBB2	17_37882851	0.000707213578500707	37882851	6e-05
17	37884037	ERBB2	17_37884037	0.35997171145686	37884037	0.35
17	37884142	ERBB2	17_37884142	0.000707213578500707	37884142	6e-05
17	37884176	ERBB2	17_37884176	0.0106082036775106	37884176	0.007
17	37884191	ERBB2	17_37884191	0.000707213578500707	37884191	0
8	128750527	MYC	8_128750527	0.00141442715700141	128750527	0.002
8	128750540	MYC	8_128750540	0.0268741159830269	128750540	0.04
8	128751016	MYC	8_128751016	0.000707213578500707	128751016	5e-04
8	128751067	MYC	8_128751067	0.000707213578500707	128751067	0
8	128751118	MYC	8_128751118	0.000707213578500707	128751118	0
8	128752745	MYC	8_128752745	0.000707213578500707	128752745	3e-04
8	128752924	MYC	8_128752924	0.00141442715700141	128752924	4e-04
17	57643037	DHX40	17_57643037	0.000707213578500707	57643037	0
17	57643067	DHX40	17_57643067	0.000707213578500707	57643067	6e-05
17	57651146	DHX40	17_57651146	0.00212164073550212	57651146	0.001
17	57665268	DHX40	17_57665268	0.000707213578500707	57665268	0
17	57665375	DHX40	17_57665375	0.000707213578500707	57665375	0
11	77378263	RSF1	11_77378263	0.000707213578500707	77378263	0
11	77383137	RSF1	11_77383137	0.000707213578500707	77383137	0.001
11	77386085	RSF1	11_77386085	0.000707213578500707	77386085	0
11	77386155	RSF1	11_77386155	0.000707213578500707	77386155	0.002
11	77386177	RSF1	11_77386177	0.000707213578500707	77386177	8e-04
11	77411816	RSF1	11_77411816	0.000707213578500707	77411816	0
11	77412344	RSF1	11_77412344	0.00212164073550212	77412344	0.006
11	77412456	RSF1	11_77412456	0.00212164073550212	77412456	0.005
11	77412472	RSF1	11_77412472	0.000707213578500707	77412472	0
11	77412632	RSF1	11_77412632	0.000707213578500707	77412632	0
11	77412646	RSF1	11_77412646	0.0183875530410184	77412646	0.02
11	77412755	RSF1	11_77412755	0.00565770862800566	77412755	0.006
11	77412851	RSF1	11_77412851	0.231258840169731	77412851	0.23
11	77413143	RSF1	11_77413143	0.000707213578500707	77413143	0
11	77413223	RSF1	11_77413223	0.000707213578500707	77413223	0
11	77413344	RSF1	11_77413344	0.000707213578500707	77413344	1e-04
11	77413429	RSF1	11_77413429	0.000707213578500707	77413429	0.001
11	77413481	RSF1	11_77413481	0.000707213578500707	77413481	5e-04
11	77413513	RSF1	11_77413513	0.000707213578500707	77413513	0
11	77451894	RSF1	11_77451894	0.000707213578500707	77451894	0
8	126011893	SQLE	8_126011893	0.000707213578500707	126011893	0
8	126015563	SQLE	8_126015563	0.00141442715700141	126015563	0
8	126021414	SQLE	8_126021414	0.0148514851485149	126021414	0.02
8	126021519	SQLE	8_126021519	0.000707213578500707	126021519	0.002
17	57941166	TUBD1	17_57941166	0.000707213578500707	57941166	0.001
17	57951931	TUBD1	17_57951931	0.000707213578500707	57951931	6e-05
17	57958377	TUBD1	17_57958377	0.000707213578500707	57958377	0.001
17	57963537	TUBD1	17_57963537	0.463932107496464	57963537	0.44
17	58756847	BCAS3	17_58756847	0.000707213578500707	58756847	0
17	58786625	BCAS3	17_58786625	0.0127298444130129	58786625	0.005
17	58786681	BCAS3	17_58786681	0.000707213578500707	58786681	8e-04
17	58824617	BCAS3	17_58824617	0.024045261669024	58824617	0.02
17	58885413	BCAS3	17_58885413	0.00212164073550212	58885413	5e-04
17	58952079	BCAS3	17_58952079	0.000707213578500707	58952079	0
17	59067450	BCAS3	17_59067450	0.00141442715700141	59067450	0
17	59067459	BCAS3	17_59067459	0.000707213578500707	59067459	2e-04
17	59067475	BCAS3	17_59067475	0.000707213578500707	59067475	0
17	59115388	BCAS3	17_59115388	0.000707213578500707	59115388	0
17	59152349	BCAS3	17_59152349	0.000707213578500707	59152349	0
17	59445705	BCAS3	17_59445705	0.000707213578500707	59445705	0
17	59457881	BCAS3	17_59457881	0.000707213578500707	59457881	0
17	59465980	BCAS3	17_59465980	0.00141442715700141	59465980	0
17	59465991	BCAS3	17_59465991	0.0148514851485149	59465991	0
17	59469394	BCAS3	17_59469394	0.000707213578500707	59469394	1e-04
8	124547004	FBXO32	8_124547004	0.000707213578500707	124547004	7e-04
11	78147846	NARS2	11_78147846	0.00143061516452074	78147846	0
11	78176965	NARS2	11_78176965	0.000715307582260372	78176965	0
11	78189653	NARS2	11_78189653	0.0228898426323319	78189653	0.03
11	78204114	NARS2	11_78204114	0.000715307582260372	78204114	0
11	78239937	NARS2	11_78239937	0.00143061516452074	78239937	7e-04
11	78277299	NARS2	11_78277299	0.00286123032904149	78277299	6e-05
11	78279790	NARS2	11_78279790	0.194563662374821	78279790	0.2
11	78285527	NARS2	11_78285527	0.000715307582260372	78285527	0
