chr	start	gene	snp	maf	end	gnomad
17	39699581	ERBB2	chr17_39699581	0.0862068965517241	39699581	0.13
17	39708331	ERBB2	chr17_39708331	0.00246305418719212	39708331	0
17	39715294	ERBB2	chr17_39715294	0.00492610837438424	39715294	0.004
17	39715782	ERBB2	chr17_39715782	0.00738916256157635	39715782	2e-04
17	39715873	ERBB2	chr17_39715873	0.00123152709359606	39715873	0
17	39715892	ERBB2	chr17_39715892	0.00123152709359606	39715892	6e-04
17	39716553	ERBB2	chr17_39716553	0.00123152709359606	39716553	1e-04
17	39723332	ERBB2	chr17_39723332	0.00862068965517241	39723332	0.007
17	39723335	ERBB2	chr17_39723335	0.182266009852217	39723335	0.25
17	39727538	ERBB2	chr17_39727538	0.00123152709359606	39727538	0.003
17	39727724	ERBB2	chr17_39727724	0.00369458128078818	39727724	0
17	39727758	ERBB2	chr17_39727758	0.00369458128078818	39727758	0
17	39727784	ERBB2	chr17_39727784	0.481527093596059	39727784	0.35
17	39727923	ERBB2	chr17_39727923	0.00369458128078818	39727923	0.007
8	127738281	MYC	chr8_127738281	0.00123152709359606	127738281	0.002
8	127738294	MYC	chr8_127738294	0.0307881773399015	127738294	0.04
8	127738770	MYC	chr8_127738770	0.00738916256157635	127738770	5e-04
11	77667326	RSF1	chr11_77667326	0.00123152709359606	77667326	0
11	77667401	RSF1	chr11_77667401	0.00123152709359606	77667401	0
11	77672223	RSF1	chr11_77672223	0.00123152709359606	77672223	6e-05
11	77675110	RSF1	chr11_77675110	0.00123152709359606	77675110	0.002
11	77675200	RSF1	chr11_77675200	0.00123152709359606	77675200	0
11	77701095	RSF1	chr11_77701095	0.00123152709359606	77701095	0.002
11	77701299	RSF1	chr11_77701299	0.00369458128078818	77701299	0.006
11	77701411	RSF1	chr11_77701411	0.00246305418719212	77701411	0.005
11	77701497	RSF1	chr11_77701497	0.00123152709359606	77701497	0.001
11	77701586	RSF1	chr11_77701586	0.00123152709359606	77701586	6e-05
11	77701601	RSF1	chr11_77701601	0.0147783251231527	77701601	0.02
11	77701710	RSF1	chr11_77701710	0.00123152709359606	77701710	0.006
11	77701806	RSF1	chr11_77701806	0.172413793103448	77701806	0.23
11	77702178	RSF1	chr11_77702178	0.00492610837438424	77702178	0
11	77702317	RSF1	chr11_77702317	0.00123152709359606	77702317	6e-05
11	77702449	RSF1	chr11_77702449	0.00123152709359606	77702449	0
11	77820687	RSF1	chr11_77820687	0.00123152709359606	77820687	0
11	77872220	RSF1	chr11_77872220	0.114532019704433	77872220	0.11
8	125003176	SQLE	chr8_125003176	0.00123152709359606	125003176	2e-04
8	125009172	SQLE	chr8_125009172	0.0147783251231527	125009172	0.02
8	125009260	SQLE	chr8_125009260	0.00246305418719212	125009260	6e-05
8	125009277	SQLE	chr8_125009277	0.00246305418719212	125009277	0.002
17	60709264	BCAS3	chr17_60709264	0.220443349753695	60709264	0.005
17	60709320	BCAS3	chr17_60709320	0.0923645320197044	60709320	8e-04
17	60747256	BCAS3	chr17_60747256	0.0160098522167488	60747256	0.02
17	60808052	BCAS3	chr17_60808052	0.00123152709359606	60808052	5e-04
17	60924424	BCAS3	chr17_60924424	0.00123152709359606	60924424	1e-04
17	60947288	BCAS3	chr17_60947288	0.00123152709359606	60947288	0
17	61368488	BCAS3	chr17_61368488	0.00123152709359606	61368488	2e-04
8	123504617	FBXO32	chr8_123504617	0.00123152709359606	123504617	0
8	123504677	FBXO32	chr8_123504677	0.00862068965517241	123504677	0
8	123506496	FBXO32	chr8_123506496	0.00123152709359606	123506496	0
8	123534764	FBXO32	chr8_123534764	0.0751231527093596	123534764	7e-04
11	78465998	NARS2	chr11_78465998	0.00123152709359606	78465998	0
11	78469265	NARS2	chr11_78469265	0.00123152709359606	78469265	0
11	78478607	NARS2	chr11_78478607	0.0184729064039409	78478607	0.03
11	78568744	NARS2	chr11_78568744	0.262315270935961	78568744	0.2
11	78571380	NARS2	chr11_78571380	0.00123152709359606	78571380	3e-04
11	78574463	NARS2	chr11_78574463	0.0123152709359606	78574463	0
11	78574464	NARS2	chr11_78574464	0.00246305418719212	78574464	0
